"confl","SELS_mx","nrSELS","pavedkm","unpavedkm","PA_dist","vieh_sum","cattle_sum","pop_sum","set_num","set_area","MB_woody","MB_nat","MB_agri","livestock"
1,"C1",1,39.27,411.32,0,2317.54530334473,58068.5302734375,17223.0248480423,3,5.99,10.98,608.66,103.04,60386.0755767822
1,"C1",1,99.58,413.09,30.41,3400.44931030273,47608.4875488281,7321.24352542264,3,5.82,1.7,155.16,1256.26,51008.9368591308
1,"C1",1,102.25,585.01,30.01,25569.8401489258,84667.2966308594,21580.3281558277,1,13.75,2.24,476.81,927.23,110237.136779785
1,"C1",1,59.81,400.93,96.51,4867.82878112793,69835.2868652344,6542.0599057409,3,4.17,1.15,110,1301.05,74703.1156463623
1,"A3",1,50.41,240.9,3.41,14954.9697875977,1289.3544960022,11605.8297701501,1,7.49,2.73,734.46,244.1,16244.3242835999
1,"B",2,33.53,122.15,0,6527.70373535156,4197.20614624023,3062.88083347166,5,2.2,672.41,677.62,33.84,10724.9098815918
1,"C1",1,74.76,406.35,39.37,6309.41453552246,68936.5810546875,8560.83437413001,3,5.67,2.16,170.96,1235.38,75245.99559021
1,"A4",1,41.08,255.15,19.02,3386.60236358643,8317.56509399414,589.829908256885,1,0.93,1352.02,60.28,2.39,11704.1674575806
1,"D3",3,107.78,104.1,0,292.019045829773,16450.3869018555,57547.4904253595,4,12.8,600.76,129.02,654.49,16742.4059476853
1,"C2",3,80.66,117.78,0,527.258891172707,9401.51480919123,21144.9831620257,4,6.18,662.38,60.57,373.2,9928.77370036394
1,"C2",2,198.99,157.92,0,372.182968139648,11997.1875610352,146536.319746802,15,29.71,562.84,129.91,676.77,12369.3705291748
1,"A3",2,73.78,325.56,0,6457.15405273438,5854.56181335449,17045.3729776368,3,7.07,444.32,848.13,78.7,12311.7158660889
1,"A2",2,50.11,89.95,0,13089.6782455444,1276.31001472473,1703.64418266155,2,1.2,120.01,716.31,78.27,14365.9882602691
1,"C1",1,98.13,288.66,15.8,19716.6508789062,21698.9702758789,81743.8292871513,3,28.21,66.41,198.34,1111.77,41415.6211547851
1,"A2",2,148.58,121.59,0,4207.57577133179,957.898037195206,141033.331347645,6,34.62,625.1,200.39,78.66,5165.473808527
1,"A4",2,0,121.46,10.58,732.729156494141,13223.200012207,183.672185603762,0,1.03,357.56,726.7,324.28,13955.9291687011
1,"A4",2,42.83,21.54,4.88,7063.39358520508,1218.65993881226,149.667776501738,1,0.31,8.55,1306.8,29.71,8282.05352401734
1,"D1",2,100.09,274.72,0,5875.75440979004,20255.8448486328,48450.2684566071,7,12.33,737.88,374.47,259.8,26131.5992584228
1,"C1",2,19.64,226.04,23.71,1318.54830169678,17564.5173950195,2964.52002364025,1,2.5,702.9,74.34,584.25,18883.0656967163
1,"A3",1,0,94.53,114.3,10679.9141845703,32.7437130212784,3.0025642439723,0,0,7.38,1208.57,33.8,10712.6578975916
1,"A3",2,0,193.6,0,9814.16680908203,781.896741867065,156.522866520099,0,0.08,204.72,854.1,53.52,10596.0635509491
1,"A3",1,0,91.63,120.23,9787.69076538086,30.0082315206528,21.7718400396407,0,0,16.72,1230.47,37.66,9817.69899690151
1,"C1",2,79.33,387.55,79.92,1894.93379211426,11488.2470703125,12875.5635705045,2,7.44,842.36,73.51,482.67,13383.1808624268
1,"C1",1,87.02,443.95,17.1,2513.43508148193,47921.0817871094,10890.2594762645,7,5.71,2.21,166.01,1244.67,50434.5168685913
1,"C1",1,102.07,447.86,136.22,2637.83668518066,59078.3032226563,21748.7713633522,2,10.84,0.59,142.56,1261.28,61716.139907837
1,"A3",2,40.83,142.83,5.5,26516.7302856445,28517.8287963867,396.700235404074,0,1,186.8,219.11,975.79,55034.5590820312
1,"A3",2,39.52,153.06,16.86,29181.3518066406,31383.5377197266,3587.70949675329,1,2.89,196.97,173.27,1038.74,60564.8895263672
1,"A3",2,107.67,279.33,14.07,28355.9821777344,3668.77265930176,12782.436774266,3,7.94,12.35,1156.34,207.69,32024.7548370362
1,"A2",2,0,70.89,3.65,9966.0334777832,692.127171993256,546.885829237755,1,0.18,524.48,648.05,55.59,10658.1606497765
1,"A3",1,47.77,366.44,54.49,3789.68778991699,28009.0712890625,195.640143038239,0,0.36,639.15,698.55,75.31,31798.7590789795
1,"A2",3,46.04,138.26,3.46,15521.5141601562,2171.74608612061,26832.8190461858,1,11.65,609.91,518.88,134.74,17693.2602462768
1,"A2",1,49.87,56.42,13.23,15382.0530395508,1851.77202606201,1078.64276218694,1,0.88,365.88,647.88,81.1,17233.8250656128
1,"A3",3,46.54,141.75,0,16966.1116943359,2097.38953399658,26906.633394402,1,11.3,732.03,441.59,150.44,19063.5012283325
1,"A2",2,49.8,90.47,0,13089.6782455444,1276.31001472473,1703.03361507319,2,1.2,111.61,724.32,78.69,14365.9882602691
1,"C2",1,290.03,668.12,0,7102.32595825195,1233.6159324646,494705.89372394,11,157.36,35.2,857.04,350.8,8335.94189071655
1,"A3",2,0,54.87,4.76,6047.49652099609,1203.64819335938,185.919599293731,0,0.05,86.35,1176.05,31.24,7251.14471435547
1,"A4",1,17.41,168,1.28,2682.8991394043,1663.05252838135,33.3088886328042,0,0.39,1.37,1387.46,9.22,4345.95166778565
1,"C2",3,89.93,332,63.86,2284.86051177979,9903.81030273438,33300.3163394541,4,15.61,515.03,396.73,469.47,12188.6708145142
1,"A3",2,0,46.05,0,9796.32183837891,677.220952987671,5.39196364860982,0,0.01,88.09,1017.91,38.12,10473.5427913666
1,"C1",1,249.15,265.6,0,1081.09560394287,54804.0734863281,680435.041612744,8,133.42,109.99,650.55,423.8,55885.169090271
1,"C1",1,52.48,425.84,19.79,3604.86631774902,44883.8046875,6435.37120780675,2,3.68,123.27,207.57,1081.23,48488.671005249
1,"D3",3,81.44,52.26,0,2873.30151367188,5506.6640663147,8724.96773089236,1,6.03,603.42,793.26,16.88,8379.96557998658
1,"D1",3,187.1,227.75,0,2763.05276870728,12400.3153991699,68316.0014186157,5,17.85,1015.47,254.03,122.77,15163.3681678772
2,"C1",1,64.68,436.53,25.69,5493.77169799805,44381.7280273438,11437.9734471666,1,8.22,0.22,129.42,1272.79,49875.4997253418
2,"C1",1,102.54,394.61,92.85,3373.86041259766,50572.0828857422,7910.08402834646,4,5.78,13.57,48.32,1335.48,53945.9432983399
2,"B",2,151.1,167.79,0,9899.15222167969,13235.9202575684,30377.8278469942,9,14.81,524.03,727.79,148.86,23135.0724792481
2,"C1",1,0,650.55,86.79,5882.52325439453,23822.227355957,12630.6092266343,1,4.22,336.12,108.62,947.84,29704.7506103515
2,"C1",2,41.24,417.78,55.66,6530.90646362305,17075.6260986328,12403.4269047999,1,6.07,547.82,113.04,709.94,23606.5325622559
2,"C1",1,27.38,417.02,6.94,37102.3347167969,78915.0478515625,9020.39557400253,1,3.29,700.37,590.85,106.84,116017.382568359
2,"C1",1,44.05,6.5,0,1035.11956787109,20797.2448120117,11554.2983937291,0,3.68,1.01,1294.99,25.78,21832.3643798828
2,"C1",1,70.2,355.89,18.72,2711.00308227539,74650.1345214844,26144.9340430507,4,11.36,68.49,225.72,1112.63,77361.1376037598
2,"C1",1,82.94,201.82,28.51,13585.771194458,65583.8352050781,17504.9257955668,1,5.62,592.16,264.43,489.46,79169.6063995361
2,"C1",1,137.54,94.55,0,1822.89264297485,34065.631652832,131354.980767817,6,55.11,12.18,988.28,288.21,35888.5242958069
2,"D3",4,47.34,253.82,0,294.995613574982,1697.33033370972,76446.1498075798,8,13.2,950.85,30.21,392,1992.3259472847
2,"D3",3,46.55,236.99,0,320.167061328888,1680.67782974243,81349.6761597432,9,13.94,981.37,30.47,363.04,2000.84489107132
2,"B",1,160.93,142.57,28.92,261.10083770752,2049.22409057617,54560.4799846532,10,18.46,1005.83,235.96,167.57,2310.32492828369
2,"B",2,131.39,390.67,2.23,2744.14321517944,3304.59754943848,64620.3923535841,11,21.61,678.97,97.27,627.05,6048.74076461792
2,"E1",2,41.01,260.95,19.93,10588.6209106445,8900.98013305664,8130.15787140653,1,3.4,1305.58,46.97,45.59,19489.6010437011
2,"C1",1,34.53,407.55,110.37,16616.1154174805,5419.04992675781,5093.92365583545,2,3.82,1378.35,16.54,10.54,22035.1653442383
2,"C1",1,216.56,643.98,122.52,2837.37173461914,12948.6076049805,64245.2717620004,7,21.12,703.8,116.32,494.29,15785.9793395996
2,"C1",2,37.54,375.28,74.09,3057.58541870117,11581.5169372559,3390.64356225496,2,2.98,1135.37,39.73,204.85,14639.1023559571
2,"C1",1,81.34,328.79,25.24,1336.29963684082,57018.6552734375,33187.2111504658,7,14.92,0.8,48.1,1357.28,58354.9549102783
2,"C1",1,236.98,443.81,34.03,2284.04956054688,39998.0257568359,78530.9695527705,4,35.33,2.09,105.24,1283.63,42282.0753173828
2,"C1",1,39.27,411.32,0,2317.54530334473,58068.5302734375,17223.0248480423,3,5.99,10.98,608.66,103.04,60386.0755767822
2,"C1",1,41.03,383.02,37.64,3151.63369750977,44948.7170410156,7966.38258894742,3,4.3,2.33,144.37,1240.76,48100.3507385254
2,"C1",2,41.24,421.33,55.97,5802.47192382812,15206.2673339844,12404.8043863797,1,6.07,549,113.99,707,21008.7392578125
2,"C1",1,66.97,193.16,8.03,2719.37330627441,32420.2355957031,491181.499091925,3,101.38,755.57,332.38,6.19,35139.6089019775
2,"B",3,63.35,310.77,0,1307.56698322296,1758.87213516235,35139.4731042804,11,8.47,918.58,216.55,74.37,3066.43911838531
2,"A3",2,46.95,243.06,0,6074.31927490234,23.8125030994415,12967.1454836782,1,6.62,251.78,538.42,15.64,6098.13177800178
2,"C1",1,35.47,381.04,109.69,16214.9974365234,5356.1735534668,7097.39410760021,3,4.76,1372.31,19.14,11.28,21571.1709899902
2,"C1",1,84.08,310.72,27.83,1323.31367492676,54717.1979980469,33139.8788731359,6,14.85,0.78,46.61,1358.07,56040.5116729737
2,"C1",1,96.33,521.86,0,2304.69383239746,48044.5393066406,39790.3942102706,5,15.06,1.14,137.59,1265.09,50349.2331390381
2,"A4",1,63.73,57.54,0,17636.8693237305,239.277765274048,204.815584834665,0,2.12,0.69,1394.63,3.38,17876.1470890045
2,"A3",1,0,33.31,69.42,14987.5775146484,27.8144061565399,18.2621022691019,0,0,0.45,1061.91,80.06,15015.3919208049
2,"A3",1,27.85,61.4,150.33,15454.1789550781,84.8870658874512,191.563150095753,1,0.17,3.12,716.48,104.44,15539.0660209656
2,"A3",1,0,255.31,4.2,19525.0285644531,127.858451843262,31.0288610565476,0,0.01,0.66,862.86,93.5,19652.8870162964
2,"A2",2,135.24,187.28,0,18923.6930541992,6198.71960449219,25988.6898449608,2,10.06,619.24,469.63,212.59,25122.4126586914
2,"A3",1,0,180.47,32.52,15291.9710693359,1318.40927886963,28.5645625963807,0,0.02,0.17,508.04,70.75,16610.3803482055
